model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,abashed and sorry,258,0.5, ,abashed and sorry,-24.09375,-13.3984375,-10.6953125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,abbots and acolytes,2,0.5, ,abbots and acolytes,-39.5625,-44.59375,5.03125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,abysses and puddles,16,0.5, ,abysses and puddles,-30.109375,-28.1875,-1.921875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and boulders,10,0.5, ,acorns and boulders,-16.125,-17.09375,0.96875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and goblets,540,0.5, ,acorns and goblets,-19.9375,-23.9375,4.0
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and lions,342,0.5, ,acorns and lions,-16.03125,-15.421875,-0.609375
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and tigers,1762,0.5, ,acorns and tigers,-15.625,-11.3046875,-4.3203125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and valleys,4,0.5, ,acorns and valleys,-19.6875,-21.1875,1.5
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,actresses and lumberjacks,50,0.5, ,actresses and lumberjacks,-31.921875,-36.40625,4.484375
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and deckhands,2,0.5, ,admirals and deckhands,-26.078125,-26.21875,0.140625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and flowers,10,0.5, ,admirals and flowers,-10.8984375,-12.234375,1.3359375
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and knitting,94,0.5, ,admirals and knitting,-15.859375,-22.640625,6.78125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and paupers,2,0.5, ,admirals and paupers,-12.1953125,-20.734375,8.5390625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and ribbons,10,0.5, ,admirals and ribbons,-14.2578125,-17.546875,3.2890625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and weavers,280,0.5, ,admirals and weavers,-14.1875,-19.703125,5.515625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,allergic and unaccustomed,126,0.5, ,allergic and unaccustomed,-27.578125,-30.375,2.796875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,amber and gravel,10,0.5, ,amber and gravel,-20.546875,-20.390625,-0.15625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,amethysts and pebbles,176,0.5, ,amethysts and pebbles,-25.703125,-26.53125,0.828125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,amphitheaters and gazebos,940,0.5, ,amphitheaters and gazebos,-32.96875,-25.140625,-7.828125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,annoying and teal,2,0.5, ,annoying and teal,-21.171875,-21.578125,0.40625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,anthills and volcanoes,914,0.5, ,anthills and volcanoes,-18.203125,-18.484375,0.28125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,ants and giraffes,404,0.5, ,ants and giraffes,-19.453125,-19.109375,-0.34375
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,ants and stars,26,0.5, ,ants and stars,-19.84375,-13.0859375,-6.7578125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,anvils and coins,6,0.5, ,anvils and coins,-24.453125,-25.96875,1.515625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,aprons and swords,2890,0.5, ,aprons and swords,-14.375,-11.859375,-2.515625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,archbishops and millers,26,0.5, ,archbishops and millers,-22.65625,-23.390625,0.734375
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,archdukes and tanners,4,0.5, ,archdukes and tanners,-16.96875,-27.703125,10.734375
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,archdukes and vagrants,4,0.5, ,archdukes and vagrants,-19.40625,-28.328125,8.921875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,archipelagos and sandbars,1254,0.5, ,archipelagos and sandbars,-15.3125,-17.390625,2.078125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,arenas and sheds,196,0.5, ,arenas and sheds,-20.125,-26.09375,5.96875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,arrows and flowers,924,0.5, ,arrows and flowers,-7.453125,-10.046875,2.59375
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,asteroids and pebbles,512,0.5, ,asteroids and pebbles,-23.171875,-18.765625,-4.40625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,avalanches and feathers,118,0.5, ,avalanches and feathers,-25.75,-12.5078125,-13.2421875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,avalanches and murmurs,3260,0.5, ,avalanches and murmurs,-25.0625,-16.1875,-8.875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,avalanches and snowballs,36,0.5, ,avalanches and snowballs,-28.046875,-18.640625,-9.40625
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,axes and flowers,132,0.5, ,axes and flowers,-9.703125,-11.484375,1.78125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,axes and petals,1094,0.5, ,axes and petals,-10.6953125,-13.2734375,2.578125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,axes and ribbons,220,0.5, ,axes and ribbons,-12.6640625,-15.8515625,3.1875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bacteria and candy,1398,0.5, ,bacteria and candy,-15.578125,-10.8359375,-4.7421875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,ballrooms and cellars,162,0.5, ,ballrooms and cellars,-22.34375,-18.5625,-3.78125
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,banners and rags,424,0.5, ,banners and rags,-14.1328125,-12.4609375,-1.671875
znhoughton/opt-babylm-125m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,banquets and crumbs,2,0.5, ,banquets and crumbs,-22.859375,-24.96875,2.109375
