model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,abashed and sorry,0,, ,abashed and sorry,-23.203125,-18.921875,-4.28125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,abbots and acolytes,0,, ,abbots and acolytes,-47.28125,-53.75,6.46875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,abysses and puddles,0,, ,abysses and puddles,-33.3125,-33.25,-0.0625
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,acorns and boulders,0,, ,acorns and boulders,-23.578125,-25.9375,2.359375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,acorns and goblets,0,, ,acorns and goblets,-33.15625,-37.9375,4.78125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,acorns and lions,0,, ,acorns and lions,-22.671875,-27.765625,5.09375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,acorns and tigers,0,, ,acorns and tigers,-21.0625,-21.296875,0.234375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,acorns and valleys,0,, ,acorns and valleys,-24.75,-29.734375,4.984375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,actresses and lumberjacks,0,, ,actresses and lumberjacks,-37.40625,-40.46875,3.0625
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,admirals and deckhands,0,, ,admirals and deckhands,-32.53125,-26.875,-5.65625
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,admirals and flowers,0,, ,admirals and flowers,-17.109375,-17.859375,0.75
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-2784,2784,2280652800,admirals and knitting,0,, ,admirals and knitting,-19.75,-24.578125,4.828125
