model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,abashed and sorry,0,, ,abashed and sorry,-22.578125,-19.84375,-2.734375
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,abbots and acolytes,0,, ,abbots and acolytes,-48.875,-51.5,2.625
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,abysses and puddles,0,, ,abysses and puddles,-33.46875,-34.40625,0.9375
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,acorns and boulders,0,, ,acorns and boulders,-24.375,-24.96875,0.59375
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,acorns and goblets,0,, ,acorns and goblets,-28.84375,-38.1875,9.34375
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,acorns and lions,0,, ,acorns and lions,-20.234375,-28.328125,8.09375
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,acorns and tigers,0,, ,acorns and tigers,-23.484375,-20.28125,-3.203125
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,acorns and valleys,0,, ,acorns and valleys,-25.90625,-28.109375,2.203125
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,actresses and lumberjacks,0,, ,actresses and lumberjacks,-34.3125,-37.375,3.0625
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,admirals and deckhands,0,, ,admirals and deckhands,-35.90625,-30.984375,-4.921875
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,admirals and flowers,0,, ,admirals and flowers,-21.53125,-17.828125,-3.703125
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,admirals and knitting,0,, ,admirals and knitting,-22.125,-29.421875,7.296875
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,admirals and paupers,0,, ,admirals and paupers,-27.375,-30.875,3.5
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,admirals and ribbons,0,, ,admirals and ribbons,-24.84375,-28.125,3.28125
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,admirals and weavers,0,, ,admirals and weavers,-27.953125,-36.59375,8.640625
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,allergic and unaccustomed,0,, ,allergic and unaccustomed,-34.21875,-42.4375,8.21875
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,amber and gravel,0,, ,amber and gravel,-30.125,-21.125,-9.0
znhoughton/opt-babylm-1.3b-ablated-20eps-seed964,ablated,step-1957,1957,2003968000,amethysts and pebbles,0,, ,amethysts and pebbles,-38.375,-37.84375,-0.53125
