model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,abashed and sorry,258,0.5, ,abashed and sorry,-22.25,-16.0625,-6.1875
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,abbots and acolytes,2,0.5, ,abbots and acolytes,-40.53125,-48.21875,7.6875
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,abysses and puddles,16,0.5, ,abysses and puddles,-28.125,-27.765625,-0.359375
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and boulders,10,0.5, ,acorns and boulders,-14.1953125,-16.078125,1.8828125
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and goblets,540,0.5, ,acorns and goblets,-18.359375,-21.5625,3.203125
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and lions,342,0.5, ,acorns and lions,-14.6875,-17.515625,2.828125
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and tigers,1762,0.5, ,acorns and tigers,-13.5234375,-12.3359375,-1.1875
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and valleys,4,0.5, ,acorns and valleys,-18.984375,-19.6875,0.703125
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,actresses and lumberjacks,50,0.5, ,actresses and lumberjacks,-30.03125,-37.1875,7.15625
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and deckhands,2,0.5, ,admirals and deckhands,-29.90625,-20.546875,-9.359375
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and flowers,10,0.5, ,admirals and flowers,-10.6875,-11.5234375,0.8359375
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and knitting,94,0.5, ,admirals and knitting,-16.015625,-18.109375,2.09375
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and paupers,2,0.5, ,admirals and paupers,-13.5,-18.90625,5.40625
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and ribbons,10,0.5, ,admirals and ribbons,-12.4921875,-16.171875,3.6796875
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and weavers,280,0.5, ,admirals and weavers,-14.421875,-18.78125,4.359375
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,allergic and unaccustomed,126,0.5, ,allergic and unaccustomed,-26.859375,-30.578125,3.71875
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,amber and gravel,10,0.5, ,amber and gravel,-20.234375,-20.390625,0.15625
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,amethysts and pebbles,176,0.5, ,amethysts and pebbles,-26.703125,-31.359375,4.65625
znhoughton/opt-babylm-350m-ablated-finetuned-20eps-seed964,finetuned,final,0,0,amphitheaters and gazebos,940,0.5, ,amphitheaters and gazebos,-30.640625,-25.5,-5.140625
