model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,abashed and sorry,0,, ,abashed and sorry,-22.875,-18.890625,-3.984375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,abbots and acolytes,0,, ,abbots and acolytes,-45.46875,-51.59375,6.125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,abysses and puddles,0,, ,abysses and puddles,-33.53125,-32.5625,-0.96875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,acorns and boulders,0,, ,acorns and boulders,-23.78125,-25.96875,2.1875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,acorns and goblets,0,, ,acorns and goblets,-32.59375,-36.5625,3.96875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,acorns and lions,0,, ,acorns and lions,-22.796875,-26.78125,3.984375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,acorns and tigers,0,, ,acorns and tigers,-21.125,-20.828125,-0.296875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,acorns and valleys,0,, ,acorns and valleys,-23.5625,-27.328125,3.765625
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,actresses and lumberjacks,0,, ,actresses and lumberjacks,-35.78125,-38.53125,2.75
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,admirals and deckhands,0,, ,admirals and deckhands,-32.59375,-26.046875,-6.546875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,admirals and flowers,0,, ,admirals and flowers,-17.0,-17.59375,0.59375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,admirals and knitting,0,, ,admirals and knitting,-19.84375,-24.640625,4.796875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,admirals and paupers,0,, ,admirals and paupers,-26.84375,-31.3125,4.46875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,admirals and ribbons,0,, ,admirals and ribbons,-19.5625,-23.890625,4.328125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,admirals and weavers,0,, ,admirals and weavers,-25.640625,-32.59375,6.953125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,allergic and unaccustomed,0,, ,allergic and unaccustomed,-29.359375,-36.84375,7.484375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,amber and gravel,0,, ,amber and gravel,-23.859375,-22.4375,-1.421875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,amethysts and pebbles,0,, ,amethysts and pebbles,-39.1875,-39.03125,-0.15625
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,amphitheaters and gazebos,0,, ,amphitheaters and gazebos,-57.4375,-52.25,-5.1875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,annoying and teal,0,, ,annoying and teal,-22.65625,-23.890625,1.234375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,anthills and volcanoes,0,, ,anthills and volcanoes,-27.859375,-28.390625,0.53125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,ants and giraffes,0,, ,ants and giraffes,-21.3125,-22.15625,0.84375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,ants and stars,0,, ,ants and stars,-19.828125,-13.3671875,-6.4609375
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,anvils and coins,0,, ,anvils and coins,-26.65625,-27.625,0.96875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,aprons and swords,0,, ,aprons and swords,-19.625,-20.453125,0.828125
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,archbishops and millers,0,, ,archbishops and millers,-33.25,-28.5,-4.75
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,archdukes and tanners,0,, ,archdukes and tanners,-31.4375,-38.40625,6.96875
znhoughton/opt-babylm-350m-ablated-20eps-seed964,ablated,step-3720,3720,3047424000,archdukes and vagrants,0,, ,archdukes and vagrants,-33.375,-38.53125,5.15625
