model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,abashed and sorry,0,, ,abashed and sorry,-23.0625,-21.890625,-1.171875
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,abbots and acolytes,0,, ,abbots and acolytes,-51.625,-52.96875,1.34375
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,abysses and puddles,0,, ,abysses and puddles,-44.5625,-40.8125,-3.75
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,acorns and boulders,0,, ,acorns and boulders,-42.59375,-40.5625,-2.03125
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,acorns and goblets,0,, ,acorns and goblets,-44.84375,-41.96875,-2.875
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,acorns and lions,0,, ,acorns and lions,-32.65625,-30.3125,-2.34375
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,acorns and tigers,0,, ,acorns and tigers,-34.5625,-32.09375,-2.46875
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,acorns and valleys,0,, ,acorns and valleys,-45.6875,-44.34375,-1.34375
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,actresses and lumberjacks,0,, ,actresses and lumberjacks,-42.25,-47.34375,5.09375
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,admirals and deckhands,0,, ,admirals and deckhands,-37.78125,-37.0,-0.78125
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,admirals and flowers,0,, ,admirals and flowers,-19.59375,-21.96875,2.375
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,admirals and knitting,0,, ,admirals and knitting,-27.28125,-31.40625,4.125
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,admirals and paupers,0,, ,admirals and paupers,-35.46875,-37.40625,1.9375
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,admirals and ribbons,0,, ,admirals and ribbons,-33.75,-36.21875,2.46875
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,admirals and weavers,0,, ,admirals and weavers,-32.21875,-37.1875,4.96875
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,allergic and unaccustomed,0,, ,allergic and unaccustomed,-55.1875,-53.84375,-1.34375
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,amber and gravel,0,, ,amber and gravel,-28.78125,-30.015625,1.234375
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,amethysts and pebbles,0,, ,amethysts and pebbles,-52.8125,-52.59375,-0.21875
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,amphitheaters and gazebos,0,, ,amphitheaters and gazebos,-60.1875,-61.5,1.3125
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,annoying and teal,0,, ,annoying and teal,-28.921875,-27.140625,-1.78125
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,anthills and volcanoes,0,, ,anthills and volcanoes,-43.53125,-38.5625,-4.96875
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,ants and giraffes,0,, ,ants and giraffes,-38.8125,-34.34375,-4.46875
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,ants and stars,0,, ,ants and stars,-22.6875,-18.796875,-3.890625
znhoughton/opt-babylm-125m-ablated-20eps-seed964,ablated,step-156,156,255590400,anvils and coins,0,, ,anvils and coins,-33.6875,-33.59375,-0.09375
